table_name	column_name	data_type	is_nullable	column_type
flow_ext_ref	ref_src_wiki	varbinary	NO	varbinary(64)
flow_ext_ref	ref_src_object_id	binary	NO	binary(11)
flow_ext_ref	ref_src_object_type	varbinary	NO	varbinary(32)
flow_ext_ref	ref_src_workflow_id	binary	NO	binary(11)
flow_ext_ref	ref_src_namespace	int	NO	int(11)
flow_ext_ref	ref_src_title	varbinary	NO	varbinary(255)
flow_ext_ref	ref_target	blob	NO	blob
flow_ext_ref	ref_type	varbinary	NO	varbinary(16)
flow_ext_ref	ref_id	binary	NO	binary(11)
flow_revision	rev_id	binary	NO	binary(11)
flow_revision	rev_type	varbinary	NO	varbinary(16)
flow_revision	rev_type_id	binary	NO	binary(11)
flow_revision	rev_user_id	bigint	NO	bigint(20) unsigned
flow_revision	rev_user_ip	varbinary	YES	varbinary(39)
flow_revision	rev_user_wiki	varbinary	NO	varbinary(64)
flow_revision	rev_parent_id	binary	YES	binary(11)
flow_revision	rev_flags	tinyblob	NO	tinyblob
flow_revision	rev_content	mediumblob	NO	mediumblob
flow_revision	rev_change_type	varbinary	YES	varbinary(255)
flow_revision	rev_mod_state	varbinary	NO	varbinary(32)
flow_revision	rev_mod_user_id	bigint	YES	bigint(20) unsigned
flow_revision	rev_mod_user_ip	varbinary	YES	varbinary(39)
flow_revision	rev_mod_user_wiki	varbinary	YES	varbinary(64)
flow_revision	rev_mod_timestamp	varbinary	YES	varbinary(14)
flow_revision	rev_mod_reason	varbinary	YES	varbinary(255)
flow_revision	rev_last_edit_id	binary	YES	binary(11)
flow_revision	rev_edit_user_id	bigint	YES	bigint(20) unsigned
flow_revision	rev_edit_user_ip	varbinary	YES	varbinary(39)
flow_revision	rev_edit_user_wiki	varbinary	YES	varbinary(64)
flow_revision	rev_content_length	int	NO	int(11)
flow_revision	rev_previous_content_length	int	NO	int(11)
flow_topic_list	topic_list_id	binary	NO	binary(11)
flow_topic_list	topic_id	binary	NO	binary(11)
flow_tree_node	tree_ancestor_id	binary	NO	binary(11)
flow_tree_node	tree_descendant_id	binary	NO	binary(11)
flow_tree_node	tree_depth	smallint	NO	smallint(6)
flow_tree_revision	tree_rev_descendant_id	binary	NO	binary(11)
flow_tree_revision	tree_rev_id	binary	NO	binary(11)
flow_tree_revision	tree_orig_user_id	bigint	NO	bigint(20) unsigned
flow_tree_revision	tree_orig_user_ip	varbinary	YES	varbinary(39)
flow_tree_revision	tree_orig_user_wiki	varbinary	NO	varbinary(64)
flow_tree_revision	tree_parent_id	binary	YES	binary(11)
flow_wiki_ref	ref_src_wiki	varbinary	NO	varbinary(64)
flow_wiki_ref	ref_src_object_id	binary	NO	binary(11)
flow_wiki_ref	ref_src_object_type	varbinary	NO	varbinary(32)
flow_wiki_ref	ref_src_workflow_id	binary	NO	binary(11)
flow_wiki_ref	ref_src_namespace	int	NO	int(11)
flow_wiki_ref	ref_src_title	varbinary	NO	varbinary(255)
flow_wiki_ref	ref_target_namespace	int	NO	int(11)
flow_wiki_ref	ref_target_title	varbinary	NO	varbinary(255)
flow_wiki_ref	ref_type	varbinary	NO	varbinary(16)
flow_wiki_ref	ref_id	binary	NO	binary(11)
flow_workflow	workflow_id	binary	NO	binary(11)
flow_workflow	workflow_wiki	varbinary	NO	varbinary(64)
flow_workflow	workflow_namespace	int	NO	int(11)
flow_workflow	workflow_page_id	int	NO	int(10) unsigned
flow_workflow	workflow_title_text	varbinary	NO	varbinary(255)
flow_workflow	workflow_name	varbinary	NO	varbinary(255)
flow_workflow	workflow_last_update_timestamp	binary	NO	binary(14)
flow_workflow	workflow_lock_state	int	NO	int(10) unsigned
flow_workflow	workflow_type	varbinary	NO	varbinary(16)
